node_number;x[m];y[m];z[m]
1.0;0.0;0.0;-0
2.0;0.0;-0.1;0.00294246953527
3.0;0.0;-0.2;0.00159755083449
4.0;0.0;-0.3;-0.00365332543829
5.0;0.0;-0.4;-0.0125422410227
6.0;0.0;-0.5;-0.0247284770395
7.0;0.0;-0.6;-0.039287527994
8.0;0.0;-0.7;-0.0547181425848
9.0;0.0;-0.8;-0.070056423916
10.0;0.0;-0.9;-0.0856553869078
11.0;0.0;-1.0;-0.102399258395
12.0;0.0;-1.1;-0.120565117645
13.0;0.0;-1.2;-0.13982058268
14.0;0.0;-1.3;-0.160051466063
15.0;0.0;-1.4;-0.181665182222
16.0;0.0;-1.5;-0.205035596235
17.0;0.0;-1.6;-0.230085479471
18.0;0.0;-1.7;-0.256386314886
19.0;0.0;-1.8;-0.283357680752
20.0;0.0;-1.9;-0.310461293958
21.0;0.0;-2.0;-0.337426586962
22.0;0.1;0.0;0.00294246953546
23.0;0.1;-0.1;0.00202823304171
24.0;0.1;-0.2;-0.00281060612467
25.0;0.1;-0.3;-0.0111353020042
26.0;0.1;-0.4;-0.0223031056398
27.0;0.1;-0.5;-0.0354726982762
28.0;0.1;-0.6;-0.0498541372206
29.0;0.1;-0.7;-0.064890158634
30.0;0.1;-0.8;-0.0803757689014
31.0;0.1;-0.9;-0.0965121959086
32.0;0.1;-1.0;-0.113685500351
33.0;0.1;-1.1;-0.132135658807
34.0;0.1;-1.2;-0.151896400954
35.0;0.1;-1.3;-0.173021154961
36.0;0.1;-1.4;-0.195684503308
37.0;0.1;-1.5;-0.219927906248
38.0;0.1;-1.6;-0.245416743847
39.0;0.1;-1.7;-0.271592975782
40.0;0.1;-1.8;-0.297991880867
41.0;0.1;-1.9;-0.324366633988
42.0;0.1;-2.0;-0.35064676299
43.0;0.2;0.0;0.00159755083404
44.0;0.2;-0.1;-0.00281060612487
45.0;0.2;-0.2;-0.0106900065663
46.0;0.2;-0.3;-0.0214574420145
47.0;0.2;-0.4;-0.034185074829
48.0;0.2;-0.5;-0.0477138924529
49.0;0.2;-0.6;-0.0615154042037
50.0;0.2;-0.7;-0.0760079422832
51.0;0.2;-0.8;-0.0916756360557
52.0;0.2;-0.9;-0.108451311342
53.0;0.2;-1.0;-0.126149410788
54.0;0.2;-1.1;-0.14497990465
55.0;0.2;-1.2;-0.165364504671
56.0;0.2;-1.3;-0.187465396476
57.0;0.2;-1.4;-0.211111344162
58.0;0.2;-1.5;-0.235980404996
59.0;0.2;-1.6;-0.261561990683
60.0;0.2;-1.7;-0.287286613492
61.0;0.2;-1.8;-0.312883811337
62.0;0.2;-1.9;-0.338415244385
63.0;0.2;-2.0;-0.363974648394
64.0;0.3;0.0;-0.00365332543967
65.0;0.3;-0.1;-0.0111353020052
66.0;0.3;-0.2;-0.0214574420147
67.0;0.3;-0.3;-0.0335616074247
68.0;0.3;-0.4;-0.0465996908617
69.0;0.3;-0.5;-0.0599889340054
70.0;0.3;-0.6;-0.073695089328
71.0;0.3;-0.7;-0.0882646600694
72.0;0.3;-0.8;-0.104166831012
73.0;0.3;-0.9;-0.121359010434
74.0;0.3;-1.0;-0.139672276789
75.0;0.3;-1.1;-0.159290487767
76.0;0.3;-1.2;-0.180579118888
77.0;0.3;-1.3;-0.203552713996
78.0;0.3;-1.4;-0.227769100657
79.0;0.3;-1.5;-0.252683899497
80.0;0.3;-1.6;-0.277826447626
81.0;0.3;-1.7;-0.302852756076
82.0;0.3;-1.8;-0.327683692664
83.0;0.3;-1.9;-0.352467043878
84.0;0.3;-2.0;-0.377320703068
85.0;0.4;0.0;-0.0125422410249
86.0;0.4;-0.1;-0.022303105641
87.0;0.4;-0.2;-0.0341850748291
88.0;0.4;-0.3;-0.0465996908614
89.0;0.4;-0.4;-0.0590920163986
90.0;0.4;-0.5;-0.0721960044268
91.0;0.4;-0.6;-0.0863866864192
92.0;0.4;-0.7;-0.101648136038
93.0;0.4;-0.8;-0.117932255354
94.0;0.4;-0.9;-0.135460907648
95.0;0.4;-1.0;-0.154513373684
96.0;0.4;-1.1;-0.175203967481
97.0;0.4;-1.2;-0.197464604152
98.0;0.4;-1.3;-0.220994827073
99.0;0.4;-1.4;-0.245230852595
100.0;0.4;-1.5;-0.269616407699
101.0;0.4;-1.6;-0.293915367745
102.0;0.4;-1.7;-0.318133531369
103.0;0.4;-1.8;-0.342310130807
104.0;0.4;-1.9;-0.366474261272
105.0;0.4;-2.0;-0.39065848172
106.0;0.5;0.0;-0.0247284770408
107.0;0.5;-0.1;-0.0354726982765
108.0;0.5;-0.2;-0.0477138924524
109.0;0.5;-0.3;-0.0599889340047
110.0;0.5;-0.4;-0.0721960044264
111.0;0.5;-0.5;-0.0853313807257
112.0;0.5;-0.6;-0.100025051115
113.0;0.5;-0.7;-0.115978650798
114.0;0.5;-0.8;-0.132894322633
115.0;0.5;-0.9;-0.151103755326
116.0;0.5;-1.0;-0.171057469391
117.0;0.5;-1.1;-0.192703139085
118.0;0.5;-1.2;-0.215569406253
119.0;0.5;-1.3;-0.239126167995
120.0;0.5;-1.4;-0.26288182518
121.0;0.5;-1.5;-0.286480326848
122.0;0.5;-1.6;-0.309912156291
123.0;0.5;-1.7;-0.333362382255
124.0;0.5;-1.8;-0.356898469436
125.0;0.5;-1.9;-0.380451618986
126.0;0.5;-2.0;-0.403981465546
127.0;0.6;0.0;-0.0392875279934
128.0;0.6;-0.1;-0.0498541372195
129.0;0.6;-0.2;-0.0615154042021
130.0;0.6;-0.3;-0.0736950893268
131.0;0.6;-0.4;-0.0863866864185
132.0;0.6;-0.5;-0.100025051115
133.0;0.6;-0.6;-0.115004274378
134.0;0.6;-0.7;-0.1313936444
135.0;0.6;-0.8;-0.149157789323
136.0;0.6;-0.9;-0.168422132063
137.0;0.6;-1.0;-0.189295041112
138.0;0.6;-1.1;-0.211488010022
139.0;0.6;-1.2;-0.234367964017
140.0;0.6;-1.3;-0.257395092644
141.0;0.6;-1.4;-0.280341050752
142.0;0.6;-1.5;-0.303167988097
143.0;0.6;-1.6;-0.325929876222
144.0;0.6;-1.7;-0.348719213232
145.0;0.6;-1.8;-0.371571310244
