element_number;x[m];y[m];z_middle[m];t[mm]
1.0;0.05;-0.05;0.154942193184;309.024930307
2.0;0.05;-0.15;0.15390345677;311.804921998
3.0;0.05;-0.25;0.154865920121;309.340796376
4.0;0.05;-0.35;0.164153613835;289.702471922
5.0;0.05;-0.45;0.178507203617;262.811328621
6.0;0.05;-0.55;0.193401524329;237.245067018
7.0;0.05;-0.65;0.20794845773;213.357329136
8.0;0.05;-0.75;0.222675768569;189.749457548
9.0;0.05;-0.85;0.237859146419;166.427956135
10.0;0.05;-0.95;0.253744839479;144.475100407
11.0;0.05;-1.05;0.270644462196;124.563329538
12.0;0.05;-1.15;0.289289127902;107.889676343
13.0;0.05;-1.25;0.310651483858;96.5077008436
14.0;0.05;-1.35;0.333896370266;89.3095434302
15.0;0.05;-1.45;0.356541825262;81.4012542889
16.0;0.05;-1.55;0.378098041732;71.0171749705
17.0;0.05;-1.65;0.401179124043;63.213139645
18.0;0.05;-1.75;0.427230401953;61.2647911934
19.0;0.05;-1.85;0.454534866472;62.0706980636
20.0;0.05;-1.95;0.481687876173;62.695743974
21.0;0.15;-0.05;0.153797182881;311.596187091
22.0;0.15;-0.15;0.155401710328;309.12246395
23.0;0.15;-0.25;0.162286866744;292.521002427
24.0;0.15;-0.35;0.17522032315;266.557153377
25.0;0.15;-0.45;0.190467447769;237.943008133
26.0;0.15;-0.55;0.204965160595;212.395617187
27.0;0.15;-0.65;0.218893581421;189.351356915
28.0;0.15;-0.75;0.233531477122;167.436604808
29.0;0.15;-0.85;0.249194923509;146.452599317
30.0;0.15;-0.95;0.265454088136;126.534837759
31.0;0.15;-1.05;0.28238767272;108.045605843
32.0;0.15;-1.15;0.301430976354;93.4788263988
33.0;0.15;-1.25;0.324070446831;85.8805653697
34.0;0.15;-1.35;0.348908282503;83.1684555411
35.0;0.15;-1.45;0.372503960972;78.6000551118
36.0;0.15;-1.55;0.394074433112;69.7098625274
37.0;0.15;-1.65;0.416581421174;62.1725940349
38.0;0.15;-1.75;0.441970715272;60.2495282726
39.0;0.15;-1.85;0.468831498551;61.4968074416
40.0;0.15;-1.95;0.495465003592;62.4638714974
41.0;0.25;-0.05;0.154896143901;309.380342657
