node_number;x[m];y[m];z[m]
1.0;0.0;0.0;-0
2.0;0.0;-0.1;0.000377456511725
3.0;0.0;-0.2;0.000719050057446
4.0;0.0;-0.3;-0.00263208897246
5.0;0.0;-0.4;-0.0118616409126
6.0;0.0;-0.5;-0.0249358393785
7.0;0.0;-0.6;-0.0396245355403
8.0;0.0;-0.7;-0.0547350289061
9.0;0.0;-0.8;-0.069920454119
10.0;0.0;-0.9;-0.0856038262994
11.0;0.0;-1.0;-0.102452488587
12.0;0.0;-1.1;-0.120603595539
13.0;0.0;-1.2;-0.139803527976
14.0;0.0;-1.3;-0.16002648971
15.0;0.0;-1.4;-0.181663048163
16.0;0.0;-1.5;-0.205056669188
17.0;0.0;-1.6;-0.230069942272
18.0;0.0;-1.7;-0.256387943795
19.0;0.0;-1.8;-0.283369715875
20.0;0.0;-1.9;-0.310461072306
21.0;0.0;-2.0;-0.337439385383
22.0;0.1;0.0;0.000646359295012
23.0;0.1;-0.1;0.000471868843864
24.0;0.1;-0.2;0.000475653162819
25.0;0.1;-0.3;-0.00694885581987
26.0;0.1;-0.4;-0.021587769173
27.0;0.1;-0.5;-0.0373610005028
28.0;0.1;-0.6;-0.0516964676177
29.0;0.1;-0.7;-0.0658752243392
30.0;0.1;-0.8;-0.0807865422193
31.0;0.1;-0.9;-0.0964245907565
32.0;0.1;-1.0;-0.112611204646
33.0;0.1;-1.1;-0.130027384298
34.0;0.1;-1.2;-0.150483178091
35.0;0.1;-1.3;-0.174529072594
36.0;0.1;-1.4;-0.198956460278
37.0;0.1;-1.5;-0.220388704328
38.0;0.1;-1.6;-0.241042136685
39.0;0.1;-1.7;-0.264841055493
40.0;0.1;-1.8;-0.291696232752
41.0;0.1;-1.9;-0.318993574314
42.0;0.1;-2.0;-0.345702725926
43.0;0.2;0.0;0.000810653162465
44.0;0.2;-0.1;0.000504189248268
45.0;0.2;-0.2;-0.00833516448234
46.0;0.2;-0.3;-0.021235870966
47.0;0.2;-0.4;-0.0346505618888
48.0;0.2;-0.5;-0.0481758995103
49.0;0.2;-0.6;-0.0619434206991
50.0;0.2;-0.7;-0.0763876993031
51.0;0.2;-0.8;-0.0919956952788
52.0;0.2;-0.9;-0.108511404054
53.0;0.2;-1.0;-0.125648354531
54.0;0.2;-1.1;-0.144097654962
55.0;0.2;-1.2;-0.16498131373
