1	1	mx min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		mx max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		my min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		my max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		mxy-	-0,00	-0,00	-0,11	0,00	0,00	0,00	0,83	-0,83
		mxy+	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nx min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nx max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		ny min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		ny max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nxy-	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nxy+	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		qx min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		qx max	-0,00	-0,00	-0,11	0,00	0,00	0,00	0,83	-0,83
		qy min	-0,00	-0,00	-0,11	0,00	0,00	0,00	0,83	-0,83
		qy max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
										
1	2	mx min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		mx max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		my min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		my max	0,00	0,04	-0,10	0,00	0,00	0,00	0,46	-0,83
		mxy-	0,00	0,04	-0,10	0,00	0,00	0,00	0,46	-0,83
		mxy+	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nx min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nx max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		ny min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		ny max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nxy-	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nxy+	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		qx min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		qx max	0,00	0,04	-0,10	0,00	0,00	0,00	0,46	-0,83
		qy min	0,00	0,04	-0,10	0,00	0,00	0,00	0,46	-0,83
		qy max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
										
1	3	mx min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		mx max	0,03	0,03	-0,10	0,00	0,00	0,00	0,46	-0,46
		my min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		my max	0,03	0,03	-0,10	0,00	0,00	0,00	0,46	-0,46
		mxy-	0,03	0,03	-0,10	0,00	0,00	0,00	0,46	-0,46
		mxy+	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nx min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nx max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		ny min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		ny max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nxy-	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nxy+	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		qx min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		qx max	0,03	0,03	-0,10	0,00	0,00	0,00	0,46	-0,46
		qy min	0,03	0,03	-0,10	0,00	0,00	0,00	0,46	-0,46
		qy max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
										
1	4	mx min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		mx max	0,04	0,00	-0,10	0,00	0,00	0,00	0,83	-0,46
		my min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		my max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		mxy-	0,04	0,00	-0,10	0,00	0,00	0,00	0,83	-0,46
		mxy+	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nx min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nx max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		ny min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		ny max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nxy-	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nxy+	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		qx min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		qx max	0,04	0,00	-0,10	0,00	0,00	0,00	0,83	-0,46
		qy min	0,04	0,00	-0,10	0,00	0,00	0,00	0,83	-0,46
		qy max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
										
2	1	mx min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		mx max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		my min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		my max	0,00	0,04	-0,10	0,00	0,00	0,00	0,46	-0,48
		mxy-	0,00	0,04	-0,10	0,00	0,00	0,00	0,46	-0,48
		mxy+	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nx min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nx max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		ny min	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		ny max	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nxy-	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
		nxy+	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
