Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;-0.06;0.01;0.00;0.01;0.59;-0.15;0.48;0.01
2;1;0.050;-0.150;-3.200;-0.04;0.03;-0.02;0.28;0.48;-0.03;0.23;0.16
3;1;0.050;-0.250;-3.224;-0.05;0.03;-0.02;0.28;0.38;-0.04;0.08;0.10
4;1;0.050;-0.350;-3.249;-0.04;0.03;-0.01;0.29;0.32;-0.03;0.03;0.06
5;1;0.050;-0.450;-3.274;-0.04;0.03;-0.01;0.27;0.29;-0.02;0.01;0.04
6;1;0.050;-0.550;-3.298;-0.03;0.02;0.00;0.25;0.27;-0.01;0.00;0.02
7;1;0.050;-0.650;-3.323;-0.03;0.02;0.00;0.23;0.24;-0.01;0.00;0.01
8;1;0.050;-0.750;-3.348;-0.02;0.02;0.00;0.20;0.22;0.00;0.00;0.01
9;1;0.050;-0.850;-3.372;-0.02;0.01;0.00;0.18;0.19;0.00;0.00;0.00
10;1;0.050;-0.950;-3.397;-0.01;0.01;0.00;0.14;0.15;0.00;0.00;0.00
11;1;0.050;-1.050;-3.422;-0.01;0.01;0.00;0.11;0.12;0.00;0.00;0.00
12;1;0.050;-1.150;-3.446;-0.01;0.01;0.00;0.07;0.09;0.00;0.00;0.00
13;1;0.050;-1.250;-3.471;-0.01;0.00;0.00;0.05;0.07;0.01;0.00;0.00
14;1;0.050;-1.350;-3.496;0.00;0.00;0.00;0.03;0.06;0.00;0.00;0.00
15;1;0.050;-1.450;-3.520;0.00;0.00;0.00;0.02;0.04;0.00;0.01;0.00
16;1;0.050;-1.550;-3.545;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00
17;1;0.050;-1.650;-3.570;0.00;0.00;0.00;-0.01;0.00;0.00;0.00;0.00
18;1;0.050;-1.750;-3.595;0.00;0.00;0.00;-0.02;-0.01;0.00;0.00;0.00
19;1;0.050;-1.850;-3.619;0.00;0.00;0.00;-0.02;-0.01;0.00;0.01;0.00
20;1;0.050;-1.950;-3.644;0.00;0.00;0.00;-0.01;0.00;0.00;0.01;0.00
21;1;0.150;-0.050;-3.200;-0.04;0.02;0.02;-0.27;0.46;-0.05;0.25;-0.16
22;1;0.150;-0.150;-3.224;-0.02;0.00;0.00;0.00;0.21;-0.10;0.19;0.00
23;1;0.150;-0.250;-3.248;-0.01;0.00;0.00;0.07;0.10;-0.08;0.11;0.05
24;1;0.150;-0.350;-3.272;-0.01;0.01;0.00;0.08;0.06;-0.06;0.05;0.05
25;1;0.150;-0.450;-3.296;-0.01;0.01;0.00;0.08;0.04;-0.04;0.02;0.04
26;1;0.150;-0.550;-3.320;-0.01;0.00;0.00;0.07;0.03;-0.03;0.01;0.03
27;1;0.150;-0.650;-3.344;0.00;0.00;0.00;0.06;0.02;-0.02;0.00;0.02
28;1;0.150;-0.750;-3.368;0.00;0.00;0.00;0.04;0.01;-0.01;0.00;0.01
29;1;0.150;-0.850;-3.392;0.00;0.00;0.00;0.03;0.01;-0.01;0.00;0.01
30;1;0.150;-0.950;-3.416;0.00;0.00;0.00;0.02;0.01;-0.01;0.00;0.01
31;1;0.150;-1.050;-3.440;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0.01
32;1;0.150;-1.150;-3.464;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0.00
33;1;0.150;-1.250;-3.488;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
34;1;0.150;-1.350;-3.512;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
35;1;0.150;-1.450;-3.536;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
36;1;0.150;-1.550;-3.560;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
37;1;0.150;-1.650;-3.585;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
38;1;0.150;-1.750;-3.609;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
39;1;0.150;-1.850;-3.633;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
40;1;0.150;-1.950;-3.657;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
41;1;0.250;-0.050;-3.224;-0.05;0.03;0.02;-0.28;0.37;-0.04;0.08;-0.10
42;1;0.250;-0.150;-3.248;-0.01;0.00;0.00;-0.07;0.10;-0.08;0.11;-0.05
43;1;0.250;-0.250;-3.271;0.00;0.00;0.00;0.00;0.01;-0.08;0.08;0.00
44;1;0.250;-0.350;-3.295;0.00;0.00;0.00;0.01;-0.01;-0.06;0.05;0.02
45;1;0.250;-0.450;-3.318;0.00;0.00;0.00;0.01;-0.01;-0.04;0.03;0.02
46;1;0.250;-0.550;-3.341;0.00;0.00;0.00;0.01;-0.01;-0.03;0.01;0.02
47;1;0.250;-0.650;-3.365;0.00;0.00;0.00;0.01;-0.01;-0.02;0.01;0.01
48;1;0.250;-0.750;-3.388;0.00;0.00;0.00;0.01;-0.01;-0.01;0.00;0.01
49;1;0.250;-0.850;-3.412;0.00;0.00;0.00;0.00;0.00;-0.01;0.00;0.01
50;1;0.250;-0.950;-3.435;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.01
51;1;0.250;-1.050;-3.459;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00
52;1;0.250;-1.150;-3.482;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
53;1;0.250;-1.250;-3.505;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
54;1;0.250;-1.350;-3.529;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
55;1;0.250;-1.450;-3.552;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
56;1;0.250;-1.550;-3.576;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
57;1;0.250;-1.650;-3.599;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
58;1;0.250;-1.750;-3.623;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
59;1;0.250;-1.850;-3.646;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
60;1;0.250;-1.950;-3.670;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
61;1;0.350;-0.050;-3.249;-0.04;0.03;0.01;-0.28;0.32;-0.03;0.03;-0.06
62;1;0.350;-0.150;-3.272;-0.01;0.01;0.00;-0.08;0.06;-0.06;0.05;-0.05
63;1;0.350;-0.250;-3.295;0.00;0.00;0.00;-0.01;-0.01;-0.06;0.05;-0.02
64;1;0.350;-0.350;-3.317;0.00;0.00;0.00;0.00;-0.02;-0.05;0.04;0.00
65;1;0.350;-0.450;-3.340;0.00;0.00;0.00;0.00;-0.01;-0.04;0.02;0.01
66;1;0.350;-0.550;-3.363;0.00;0.00;0.00;0.00;-0.01;-0.03;0.01;0.01
67;1;0.350;-0.650;-3.386;0.00;0.00;0.00;0.00;-0.01;-0.02;0.01;0.01
68;1;0.350;-0.750;-3.409;0.00;0.00;0.00;0.00;0.00;-0.01;0.00;0.01
69;1;0.350;-0.850;-3.431;0.00;0.00;0.00;0.00;0.01;-0.01;0.00;0.01
70;1;0.350;-0.950;-3.454;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.01
71;1;0.350;-1.050;-3.477;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
72;1;0.350;-1.150;-3.500;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
73;1;0.350;-1.250;-3.523;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
74;1;0.350;-1.350;-3.545;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
75;1;0.350;-1.450;-3.568;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
76;1;0.350;-1.550;-3.591;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
77;1;0.350;-1.650;-3.614;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
78;1;0.350;-1.750;-3.637;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
79;1;0.350;-1.850;-3.660;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
80;1;0.350;-1.950;-3.682;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
81;1;0.450;-0.050;-3.274;-0.04;0.03;0.01;-0.27;0.29;-0.02;0.01;-0.04
82;1;0.450;-0.150;-3.296;-0.01;0.01;0.00;-0.08;0.04;-0.04;0.02;-0.04
83;1;0.450;-0.250;-3.318;0.00;0.00;0.00;-0.01;-0.01;-0.04;0.03;-0.02
84;1;0.450;-0.350;-3.340;0.00;0.00;0.00;0.00;-0.01;-0.04;0.02;-0.01
85;1;0.450;-0.450;-3.362;0.00;0.00;0.00;0.00;-0.01;-0.03;0.02;0.00
86;1;0.450;-0.550;-3.385;0.00;0.00;0.00;0.00;-0.01;-0.02;0.01;0.00
87;1;0.450;-0.650;-3.407;0.00;0.00;0.00;0.00;0.00;-0.02;0.01;0.00
88;1;0.450;-0.750;-3.429;0.00;0.00;0.00;0.00;0.01;-0.01;0.00;0.00
89;1;0.450;-0.850;-3.451;0.00;0.00;0.00;0.00;0.01;-0.01;0.00;0.00
90;1;0.450;-0.950;-3.473;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
91;1;0.450;-1.050;-3.495;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
92;1;0.450;-1.150;-3.518;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
93;1;0.450;-1.250;-3.540;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
94;1;0.450;-1.350;-3.562;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
95;1;0.450;-1.450;-3.584;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
96;1;0.450;-1.550;-3.606;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
97;1;0.450;-1.650;-3.629;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
98;1;0.450;-1.750;-3.651;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
99;1;0.450;-1.850;-3.673;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
100;1;0.450;-1.950;-3.695;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
101;1;0.550;-0.050;-3.298;-0.03;0.02;0.00;-0.25;0.27;-0.01;0.01;-0.02
102;1;0.550;-0.150;-3.320;-0.01;0.00;0.00;-0.07;0.03;-0.03;0.01;-0.03
103;1;0.550;-0.250;-3.341;0.00;0.00;0.00;-0.01;-0.01;-0.03;0.01;-0.02
104;1;0.550;-0.350;-3.363;0.00;0.00;0.00;0.00;-0.01;-0.03;0.01;-0.01
105;1;0.550;-0.450;-3.385;0.00;0.00;0.00;0.00;-0.01;-0.02;0.01;0.00
106;1;0.550;-0.550;-3.406;0.00;0.00;0.00;0.00;0.00;-0.02;0.01;0.00
107;1;0.550;-0.650;-3.428;0.00;0.00;0.00;0.00;0.01;-0.01;0.01;0.00
108;1;0.550;-0.750;-3.449;0.00;0.00;0.00;0.00;0.01;-0.01;0.00;0.00
109;1;0.550;-0.850;-3.471;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
110;1;0.550;-0.950;-3.492;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
111;1;0.550;-1.050;-3.514;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
112;1;0.550;-1.150;-3.535;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
113;1;0.550;-1.250;-3.557;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
114;1;0.550;-1.350;-3.579;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
115;1;0.550;-1.450;-3.600;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
116;1;0.550;-1.550;-3.622;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
117;1;0.550;-1.650;-3.643;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
118;1;0.550;-1.750;-3.665;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
119;1;0.550;-1.850;-3.686;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
120;1;0.550;-1.950;-3.708;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
121;1;0.650;-0.050;-3.323;-0.03;0.02;0.00;-0.23;0.24;-0.01;0.00;-0.01
122;1;0.650;-0.150;-3.344;0.00;0.00;0.00;-0.06;0.02;-0.02;0.00;-0.02
123;1;0.650;-0.250;-3.365;0.00;0.00;0.00;-0.01;-0.01;-0.02;0.01;-0.01
124;1;0.650;-0.350;-3.386;0.00;0.00;0.00;0.00;-0.01;-0.02;0.01;-0.01
125;1;0.650;-0.450;-3.407;0.00;0.00;0.00;0.00;0.00;-0.02;0.01;0.00
126;1;0.650;-0.550;-3.428;0.00;0.00;0.00;0.00;0.01;-0.01;0.01;0.00
127;1;0.650;-0.650;-3.449;0.00;0.00;0.00;0.00;0.01;-0.01;0.00;0.00
128;1;0.650;-0.750;-3.470;0.00;0.00;0.00;0.00;0.02;-0.01;0.00;0.00
129;1;0.650;-0.850;-3.490;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
130;1;0.650;-0.950;-3.511;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
131;1;0.650;-1.050;-3.532;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
132;1;0.650;-1.150;-3.553;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
133;1;0.650;-1.250;-3.574;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
134;1;0.650;-1.350;-3.595;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
135;1;0.650;-1.450;-3.616;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
136;1;0.650;-1.550;-3.637;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
137;1;0.650;-1.650;-3.658;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
138;1;0.650;-1.750;-3.679;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
139;1;0.650;-1.850;-3.700;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
140;1;0.650;-1.950;-3.721;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
141;1;0.750;-0.050;-3.348;-0.02;0.02;0.00;-0.21;0.22;0.00;0.00;-0.01
142;1;0.750;-0.150;-3.368;0.00;0.00;0.00;-0.04;0.01;-0.01;0.00;-0.01
143;1;0.750;-0.250;-3.388;0.00;0.00;0.00;-0.01;-0.01;-0.01;0.00;-0.01
144;1;0.750;-0.350;-3.409;0.00;0.00;0.00;0.00;0.00;-0.01;0.00;-0.01
145;1;0.750;-0.450;-3.429;0.00;0.00;0.00;0.00;0.01;-0.01;0.00;0.00
146;1;0.750;-0.550;-3.449;0.00;0.00;0.00;0.00;0.01;-0.01;0.00;0.00
147;1;0.750;-0.650;-3.470;0.00;0.00;0.00;0.00;0.02;-0.01;0.00;0.00
148;1;0.750;-0.750;-3.490;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
149;1;0.750;-0.850;-3.510;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
150;1;0.750;-0.950;-3.530;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
151;1;0.750;-1.050;-3.551;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
152;1;0.750;-1.150;-3.571;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
153;1;0.750;-1.250;-3.591;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
154;1;0.750;-1.350;-3.612;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
155;1;0.750;-1.450;-3.632;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
156;1;0.750;-1.550;-3.652;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
157;1;0.750;-1.650;-3.673;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
158;1;0.750;-1.750;-3.693;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
159;1;0.750;-1.850;-3.713;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
160;1;0.750;-1.950;-3.734;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
161;1;0.850;-0.050;-3.372;-0.02;0.01;0.00;-0.18;0.19;0.00;0.00;0.00
162;1;0.850;-0.150;-3.392;0.00;0.00;0.00;-0.03;0.01;-0.01;0.00;-0.01
163;1;0.850;-0.250;-3.412;0.00;0.00;0.00;0.00;0.00;-0.01;0.00;-0.01
164;1;0.850;-0.350;-3.431;0.00;0.00;0.00;0.00;0.01;-0.01;0.00;-0.01
165;1;0.850;-0.450;-3.451;0.00;0.00;0.00;0.00;0.01;-0.01;0.00;0.00
166;1;0.850;-0.550;-3.471;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
167;1;0.850;-0.650;-3.490;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
168;1;0.850;-0.750;-3.510;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
169;1;0.850;-0.850;-3.530;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
170;1;0.850;-0.950;-3.550;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
171;1;0.850;-1.050;-3.569;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
172;1;0.850;-1.150;-3.589;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
173;1;0.850;-1.250;-3.609;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
174;1;0.850;-1.350;-3.628;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
175;1;0.850;-1.450;-3.648;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
176;1;0.850;-1.550;-3.668;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
177;1;0.850;-1.650;-3.687;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
178;1;0.850;-1.750;-3.707;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
179;1;0.850;-1.850;-3.727;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
180;1;0.850;-1.950;-3.746;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00
181;1;0.950;-0.050;-3.397;-0.01;0.01;0.00;-0.14;0.16;0.00;0.00;0.00
182;1;0.950;-0.150;-3.416;0.00;0.00;0.00;-0.02;0.01;-0.01;0.00;-0.01
183;1;0.950;-0.250;-3.435;0.00;0.00;0.00;0.00;0.01;0.00;0.00;-0.01
184;1;0.950;-0.350;-3.454;0.00;0.00;0.00;0.00;0.01;0.00;0.00;-0.01
185;1;0.950;-0.450;-3.473;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
186;1;0.950;-0.550;-3.492;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
187;1;0.950;-0.650;-3.511;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
188;1;0.950;-0.750;-3.530;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
189;1;0.950;-0.850;-3.550;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
190;1;0.950;-0.950;-3.569;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
191;1;0.950;-1.050;-3.588;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
192;1;0.950;-1.150;-3.607;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
193;1;0.950;-1.250;-3.626;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
194;1;0.950;-1.350;-3.645;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
195;1;0.950;-1.450;-3.664;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
196;1;0.950;-1.550;-3.683;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
197;1;0.950;-1.650;-3.702;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
198;1;0.950;-1.750;-3.721;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
199;1;0.950;-1.850;-3.740;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
200;1;0.950;-1.950;-3.759;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00
201;1;1.050;-0.050;-3.422;-0.01;0.01;0.00;-0.11;0.12;0.00;0.00;0.00
202;1;1.050;-0.150;-3.440;0.00;0.00;0.00;-0.01;0.01;0.00;0.00;-0.01
203;1;1.050;-0.250;-3.459;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00
