Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;-4.05;-138.50;2.54;51.20;-302.11;-284.96;133.66;-45.80
2;1;0.050;-0.150;-3.200;-1.66;-14.38;-6.60;-50.24;-18.81;-79.33;30.67;-34.78
3;1;0.050;-0.250;-3.224;-1.09;-4.55;-2.27;-32.83;31.35;-60.82;32.56;-32.85
4;1;0.050;-0.350;-3.249;-0.73;-2.93;-1.81;-17.68;29.00;-64.74;33.81;-28.83
5;1;0.050;-0.450;-3.274;-0.19;-2.55;-1.54;-7.16;20.58;-65.79;30.65;-25.13
6;1;0.050;-0.550;-3.298;0.20;-2.27;-1.25;-1.42;14.36;-63.79;25.98;-22.25
7;1;0.050;-0.650;-3.323;0.43;-1.99;-0.98;1.10;10.39;-60.24;21.46;-20.13
8;1;0.050;-0.750;-3.348;0.55;-1.71;-0.71;1.75;7.69;-55.94;17.66;-18.62
9;1;0.050;-0.850;-3.372;0.59;-1.44;-0.47;1.43;5.65;-51.18;14.54;-17.47
10;1;0.050;-0.950;-3.397;0.58;-1.18;-0.29;0.73;4.07;-46.15;11.94;-16.45
11;1;0.050;-1.050;-3.422;0.53;-0.94;-0.14;-0.05;2.92;-41.03;9.81;-15.44
12;1;0.050;-1.150;-3.446;0.47;-0.74;-0.05;-0.67;2.17;-36.11;8.20;-14.37
13;1;0.050;-1.250;-3.471;0.44;-0.59;0.02;-0.98;1.68;-31.83;7.23;-13.28
14;1;0.050;-1.350;-3.496;0.44;-0.48;0.06;-1.09;1.21;-28.24;6.74;-12.27
15;1;0.050;-1.450;-3.520;0.41;-0.38;0.08;-1.16;0.61;-24.81;6.23;-11.39
16;1;0.050;-1.550;-3.545;0.33;-0.26;0.07;-1.14;0.00;-21.38;5.38;-10.60
17;1;0.050;-1.650;-3.570;0.27;-0.19;0.07;-0.89;-0.48;-18.77;4.57;-9.94
18;1;0.050;-1.750;-3.595;0.27;-0.16;0.07;-0.51;-0.77;-17.40;4.12;-9.55
19;1;0.050;-1.850;-3.619;0.28;-0.14;0.07;-0.17;-0.90;-16.75;3.85;-9.44
20;1;0.050;-1.950;-3.644;0.29;-0.13;0.07;0.19;-0.85;-16.42;3.60;-9.53
21;1;0.150;-0.050;-3.200;-17.41;-46.61;25.36;114.31;-203.30;-86.98;-40.65;-28.17
22;1;0.150;-0.150;-3.224;-5.62;-27.50;1.00;-37.90;-95.49;-76.19;-11.74;-48.23
23;1;0.150;-0.250;-3.248;-4.33;-10.76;-1.34;-50.30;-26.70;-66.68;6.21;-49.34
24;1;0.150;-0.350;-3.272;-2.22;-5.76;-0.86;-34.36;-4.70;-63.06;14.72;-43.37
25;1;0.150;-0.450;-3.296;-0.72;-3.91;-0.66;-20.95;-0.37;-59.87;16.68;-37.23
