Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;-7.35;-4.39;0.03;-0.02;-33.36;-47.59;-110.22;0.27
2;1;0.050;-0.150;-3.200;-4.39;-2.94;0.58;-18.52;-21.42;-49.81;-81.03;-19.59
3;1;0.050;-0.250;-3.224;-2.85;-1.97;0.36;-11.82;-8.73;-43.05;-59.65;-18.55
4;1;0.050;-0.350;-3.249;-1.84;-1.35;0.02;-8.07;-4.31;-36.85;-49.85;-18.79
5;1;0.050;-0.450;-3.274;-1.09;-0.91;-0.22;-5.75;-2.48;-31.65;-43.83;-19.04
6;1;0.050;-0.550;-3.298;-0.65;-0.61;-0.31;-4.30;-1.60;-27.45;-39.68;-18.81
7;1;0.050;-0.650;-3.323;-0.37;-0.41;-0.33;-3.33;-1.15;-23.98;-36.54;-18.23
8;1;0.050;-0.750;-3.348;-0.20;-0.27;-0.31;-2.65;-0.89;-21.02;-33.99;-17.35
9;1;0.050;-0.850;-3.372;-0.08;-0.18;-0.27;-2.13;-0.72;-18.43;-31.74;-16.28
10;1;0.050;-0.950;-3.397;-0.01;-0.11;-0.22;-1.71;-0.58;-16.09;-29.63;-15.09
11;1;0.050;-1.050;-3.422;0.03;-0.06;-0.17;-1.37;-0.45;-13.95;-27.58;-13.82
12;1;0.050;-1.150;-3.446;0.06;-0.02;-0.13;-1.07;-0.33;-11.96;-25.53;-12.53
13;1;0.050;-1.250;-3.471;0.07;0.01;-0.10;-0.84;-0.24;-10.12;-23.43;-11.27
14;1;0.050;-1.350;-3.496;0.07;0.02;-0.07;-0.61;-0.18;-8.48;-21.29;-10.12
15;1;0.050;-1.450;-3.520;0.08;0.03;-0.05;-0.41;-0.11;-7.10;-19.31;-9.14
16;1;0.050;-1.550;-3.545;0.08;0.03;-0.04;-0.33;-0.02;-6.01;-17.61;-8.22
17;1;0.050;-1.650;-3.570;0.08;0.03;-0.04;-0.26;0.00;-5.16;-16.17;-7.36
18;1;0.050;-1.750;-3.595;0.08;0.03;-0.03;-0.21;0.02;-4.45;-14.88;-6.57
19;1;0.050;-1.850;-3.619;0.09;0.03;-0.03;-0.17;0.04;-3.92;-13.73;-5.84
20;1;0.050;-1.950;-3.644;0.09;0.03;-0.03;-0.15;0.07;-3.53;-12.74;-5.19
21;1;0.150;-0.050;-3.200;-4.33;-2.81;-0.67;18.41;-20.50;-49.96;-80.32;19.83
22;1;0.150;-0.150;-3.224;-4.15;-1.84;-0.01;0.23;-14.66;-36.97;-71.34;0.15
23;1;0.150;-0.250;-3.248;-3.09;-1.32;0.13;-4.23;-8.31;-32.06;-58.69;-8.83
24;1;0.150;-0.350;-3.272;-1.97;-0.90;0.00;-4.31;-4.59;-27.65;-48.56;-11.96
25;1;0.150;-0.450;-3.296;-1.23;-0.61;-0.12;-3.64;-2.68;-23.74;-41.94;-13.13
26;1;0.150;-0.550;-3.320;-0.76;-0.40;-0.19;-2.97;-1.68;-20.42;-37.43;-13.46
27;1;0.150;-0.650;-3.344;-0.46;-0.26;-0.22;-2.41;-1.13;-17.60;-34.13;-13.24
28;1;0.150;-0.750;-3.368;-0.27;-0.16;-0.21;-1.95;-0.81;-15.19;-31.55;-12.68
29;1;0.150;-0.850;-3.392;-0.15;-0.09;-0.18;-1.56;-0.61;-13.09;-29.42;-11.92
30;1;0.150;-0.950;-3.416;-0.07;-0.05;-0.15;-1.24;-0.47;-11.25;-27.55;-11.07
31;1;0.150;-1.050;-3.440;-0.02;-0.02;-0.12;-0.97;-0.35;-9.63;-25.82;-10.20
32;1;0.150;-1.150;-3.464;0.01;0.00;-0.09;-0.75;-0.24;-8.20;-24.24;-9.37
33;1;0.150;-1.250;-3.488;0.03;0.02;-0.07;-0.60;-0.15;-6.96;-22.73;-8.60
34;1;0.150;-1.350;-3.512;0.04;0.03;-0.06;-0.42;-0.11;-5.94;-21.18;-7.93
35;1;0.150;-1.450;-3.536;0.05;0.03;-0.05;-0.32;-0.08;-5.06;-19.59;-7.25
36;1;0.150;-1.550;-3.560;0.05;0.03;-0.04;-0.30;-0.03;-4.29;-17.98;-6.63
37;1;0.150;-1.650;-3.585;0.06;0.03;-0.03;-0.24;0.02;-3.73;-16.53;-6.00
38;1;0.150;-1.750;-3.609;0.07;0.03;-0.03;-0.20;0.06;-3.32;-15.34;-5.41
39;1;0.150;-1.850;-3.633;0.07;0.03;-0.03;-0.18;0.08;-3.02;-14.28;-4.87
40;1;0.150;-1.950;-3.657;0.07;0.02;-0.03;-0.17;0.10;-2.78;-13.30;-4.36
41;1;0.250;-0.050;-3.224;-2.79;-1.90;-0.40;11.74;-8.12;-43.16;-58.74;18.65
42;1;0.250;-0.150;-3.248;-3.07;-1.29;-0.15;4.49;-8.10;-32.11;-58.30;9.03
43;1;0.250;-0.250;-3.271;-2.41;-0.86;-0.01;0.11;-5.72;-25.18;-51.47;0.09
44;1;0.250;-0.350;-3.295;-1.69;-0.58;-0.02;-1.46;-3.62;-20.67;-44.59;-5.00
45;1;0.250;-0.450;-3.318;-1.13;-0.38;-0.08;-1.80;-2.26;-17.33;-39.10;-7.52
46;1;0.250;-0.550;-3.341;-0.73;-0.24;-0.12;-1.72;-1.45;-14.61;-34.97;-8.65
47;1;0.250;-0.650;-3.365;-0.46;-0.14;-0.14;-1.50;-0.96;-12.36;-31.88;-9.00
48;1;0.250;-0.750;-3.388;-0.28;-0.08;-0.13;-1.26;-0.66;-10.49;-29.49;-8.89
49;1;0.250;-0.850;-3.412;-0.17;-0.04;-0.12;-1.02;-0.47;-8.94;-27.55;-8.53
50;1;0.250;-0.950;-3.435;-0.09;-0.01;-0.10;-0.81;-0.34;-7.63;-25.91;-8.06
51;1;0.250;-1.050;-3.459;-0.05;0.01;-0.09;-0.63;-0.25;-6.53;-24.46;-7.56
52;1;0.250;-1.150;-3.482;-0.02;0.02;-0.07;-0.52;-0.18;-5.57;-23.11;-7.04
