Combination ('y',) -- 0
Run 	 Time
0 	 0.040362392427
1 	 0.00390608303569
2 	 0.00620302300991
3 	 0.000233549236006
=================
Combination ('y',) -- 1
Run 	 Time
0 	 0.000222374631413
1 	 7.54285810068e-05
2 	 7.54285810068e-05
3 	 0.000209803201245
=================
Combination ('x',) -- 0
Run 	 Time
0 	 0.00455923867419
1 	 0.00701513739875
2 	 0.0107672902562
3 	 0.000220698440724
=================
Combination ('x',) -- 1
Run 	 Time
0 	 0.000225447647676
1 	 7.40317554326e-05
2 	 7.71047716959e-05
3 	 0.000213434947738
=================
Combination ('z',) -- 0
Run 	 Time
0 	 0.00436899103098
1 	 0.00399045130037
2 	 0.00394100367505
3 	 0.000227682568595
=================
Combination ('z',) -- 1
Run 	 Time
0 	 0.000202260343144
1 	 8.04571530741e-05
2 	 7.23555647437e-05
3 	 0.00020198097803
=================
Combination ('a',) -- 0
Run 	 Time
0 	 0.00563479436632
1 	 0.00672683260023
2 	 0.00632315000929
3 	 0.000215390503542
=================
Combination ('a',) -- 1
Run 	 Time
0 	 0.000227123838365
1 	 8.18539786476e-05
2 	 7.73841368105e-05
3 	 0.000199466691996
=================
Combination ('y', 'x') -- 0
Run 	 Time
0 	 0.068269849939
1 	 0.0476258854128
2 	 0.0452560311436
3 	 0.000335238137808
=================
Combination ('y', 'x') -- 1
Run 	 Time
0 	 0.000235225426695
1 	 9.07936623236e-05
2 	 9.77777901943e-05
3 	 0.000332723851774
=================
Combination ('y', 'z') -- 0
Run 	 Time
0 	 0.0632764778764
1 	 0.0498496317269
2 	 0.0393572367438
3 	 0.000889219160536
=================
Combination ('y', 'z') -- 1
Run 	 Time
0 	 0.00023662225227
1 	 9.05142972094e-05
2 	 9.74984250792e-05
3 	 0.000314565119309
=================
Combination ('y', 'a') -- 0
Run 	 Time
0 	 0.0741183586182
1 	 0.048864590332
2 	 0.0400791162005
3 	 0.000275174638118
=================
Combination ('y', 'a') -- 1
Run 	 Time
0 	 0.000248355587091
1 	 9.07936623236e-05
2 	 0.000100292076228
3 	 0.000285511147368
=================
Combination ('x', 'z') -- 0
Run 	 Time
0 	 0.0370885126462
1 	 0.065073354295
2 	 0.0575511692128
3 	 0.000380774651527
=================
Combination ('x', 'z') -- 1
Run 	 Time
0 	 0.000245003205714
1 	 9.55428692748e-05
2 	 0.000106717473869
3 	 0.000322107977411
=================
Combination ('x', 'a') -- 0
Run 	 Time
0 	 0.0514118414491
1 	 0.0603241473427
2 	 0.0729961489519
3 	 0.000290539719435
=================
Combination ('x', 'a') -- 1
Run 	 Time
0 	 0.000233549236007
1 	 9.13523925536e-05
2 	 9.30285832421e-05
3 	 0.00026148574749
=================
Combination ('z', 'a') -- 0
Run 	 Time
0 	 0.0503832190963
1 	 0.0403341765504
2 	 0.0406330972232
3 	 0.000270984161396
=================
Combination ('z', 'a') -- 1
Run 	 Time
0 	 0.000236063522038
1 	 0.00010057144134
2 	 0.000108114299444
3 	 0.000350603219122
=================
Combination ('y', 'x', 'z') -- 0
Run 	 Time
0 	 0.0719538377084
1 	 0.0251735904982
2 	 0.0411566274485
3 	 0.00305820991215
=================
Combination ('y', 'x', 'z') -- 1
Run 	 Time
0 	 0.000507047683435
1 	 0.000380495286411
2 	 0.000625498492127
3 	 0.00325516231812
=================
Combination ('y', 'x', 'a') -- 0
Run 	 Time
0 	 0.0617279570448
1 	 0.0386702779264
2 	 0.044069846866
3 	 0.00180050816514
=================
Combination ('y', 'x', 'a') -- 1
Run 	 Time
0 	 0.000554819118072
1 	 0.000463187360406
2 	 0.000579123883064
3 	 0.00163568274739
=================
Combination ('y', 'z', 'a') -- 0
Run 	 Time
0 	 0.0513037271497
1 	 0.0545273212098
2 	 0.0496155237607
3 	 0.00295456545455
=================
Combination ('y', 'z', 'a') -- 1
Run 	 Time
0 	 0.000502577841598
1 	 0.000382171477099
2 	 0.000656228654758
3 	 0.00153762559208
=================
Combination ('x', 'z', 'a') -- 0
Run 	 Time
0 	 0.0607158172338
1 	 0.0479451997391
2 	 0.0479781648226
3 	 0.00165244465428
=================
Combination ('x', 'z', 'a') -- 1
Run 	 Time
0 	 0.000497549269529
1 	 0.000407034972319
2 	 0.000642819129247
3 	 0.00157813353373
=================
Combination ('y', 'x', 'z', 'a') -- 0
Run 	 Time
0 	 0.147672399704
1 	 0.0612035887243
2 	 0.078506346477
3 	 0.119983405712
=================
Combination ('y', 'x', 'z', 'a') -- 1
Run 	 Time
0 	 0.0208023645463
1 	 0.0151379574778
2 	 0.0244044983371
3 	 0.0986278982385
=================
