element_number;x[m];y[m];t[mm]
1.0;0.05;-0.05;309.240154083
2.0;0.05;-0.15;312.044859901
3.0;0.05;-0.25;309.55785679
4.0;0.05;-0.35;289.742321988
5.0;0.05;-0.45;262.704009795
6.0;0.05;-0.55;237.108040678
7.0;0.05;-0.65;213.25816995
8.0;0.05;-0.75;189.684468517
9.0;0.05;-0.85;166.369855966
10.0;0.05;-0.95;144.414726731
11.0;0.05;-1.05;124.508552709
12.0;0.05;-1.15;107.846017748
13.0;0.05;-1.25;96.4715252726
14.0;0.05;-1.35;89.2752878467
15.0;0.05;-1.45;81.368400433
16.0;0.05;-1.55;70.9884164547
17.0;0.05;-1.65;63.1884645844
18.0;0.05;-1.75;61.2413827529
19.0;0.05;-1.85;62.0467606367
20.0;0.05;-1.95;62.6713246194
21.0;0.15;-0.05;311.836255022
22.0;0.15;-0.15;309.302534296
23.0;0.15;-0.25;292.54009156
24.0;0.15;-0.35;266.499882807
25.0;0.15;-0.45;237.846395135
26.0;0.15;-0.55;212.300245971
27.0;0.15;-0.65;189.269879905
28.0;0.15;-0.75;167.368221496
29.0;0.15;-0.85;146.393683068
30.0;0.15;-0.95;126.483090393
31.0;0.15;-1.05;108.000968663
32.0;0.15;-1.15;93.4410116274
33.0;0.15;-1.25;85.846892089
34.0;0.15;-1.35;83.1358689153
35.0;0.15;-1.45;78.5686090629
36.0;0.15;-1.55;69.6818215654
37.0;0.15;-1.65;62.1480033795
38.0;0.15;-1.75;60.2260859051
39.0;0.15;-1.85;61.4728731584
40.0;0.15;-1.95;62.4394350777
41.0;0.25;-0.05;309.597173679
42.0;0.25;-0.15;292.51915374
43.0;0.25;-0.25;261.825464829
44.0;0.25;-0.35;235.048542965
45.0;0.25;-0.45;212.877306785
46.0;0.25;-0.55;189.304575081
47.0;0.25;-0.65;165.95205963
48.0;0.25;-0.75;145.06161776
49.0;0.25;-0.85;127.218784295
50.0;0.25;-0.95;111.358197436
51.0;0.25;-1.05;97.3704022977
52.0;0.25;-1.15;86.4312833534
53.0;0.25;-1.25;78.6152768839
54.0;0.25;-1.35;73.4217174064
55.0;0.25;-1.45;71.2549766949
56.0;0.25;-1.55;71.9093462146
57.0;0.25;-1.65;72.7273873706
58.0;0.25;-1.75;72.1260262083
59.0;0.25;-1.85;71.5274004328
60.0;0.25;-1.95;71.0386935076
61.0;0.35;-0.05;289.922881947
62.0;0.35;-0.15;266.509378907
63.0;0.35;-0.25;235.030092085
64.0;0.35;-0.35;209.10466996
65.0;0.35;-0.45;187.750138949
66.0;0.35;-0.55;166.920739861
67.0;0.35;-0.65;145.585845941
68.0;0.35;-0.75;126.39343491
69.0;0.35;-0.85;110.583297795
70.0;0.35;-0.95;97.8463068783
71.0;0.35;-1.05;87.8049225924
72.0;0.35;-1.15;80.0696103666
73.0;0.35;-1.25;73.8787372235
74.0;0.35;-1.35;69.6746948876
75.0;0.35;-1.45;69.2951927392
76.0;0.35;-1.55;72.505778209
77.0;0.35;-1.65;75.7068715337
78.0;0.35;-1.75;76.2505760371
79.0;0.35;-1.85;75.1262075001
80.0;0.35;-1.95;73.898932487
81.0;0.45;-0.05;262.771938452
82.0;0.45;-0.15;237.8525649
83.0;0.45;-0.25;212.875435467
84.0;0.45;-0.35;187.759441769
85.0;0.45;-0.45;165.839095676
86.0;0.45;-0.55;146.22505984
87.0;0.45;-0.65;127.83033034
88.0;0.45;-0.75;111.091764875
89.0;0.45;-0.85;97.0384137235
90.0;0.45;-0.95;86.446956506
91.0;0.45;-1.05;79.205738344
92.0;0.45;-1.15;74.5383044535
93.0;0.45;-1.25;71.9734600932
94.0;0.45;-1.35;71.144631713
95.0;0.45;-1.45;71.2188158503
96.0;0.45;-1.55;71.3319259234
97.0;0.45;-1.65;71.3625659317
98.0;0.45;-1.75;71.2372920321
99.0;0.45;-1.85;70.5451942815
100.0;0.45;-1.95;69.7714142003
101.0;0.55;-0.05;237.04293108
102.0;0.55;-0.15;212.271252731
103.0;0.55;-0.25;189.309602967
104.0;0.55;-0.35;166.939156847
105.0;0.55;-0.45;146.234577914
106.0;0.55;-0.55;128.037559648
107.0;0.55;-0.65;111.870209189
108.0;0.55;-0.75;97.7448033609
109.0;0.55;-0.85;86.4073353366
110.0;0.55;-0.95;78.5363228785
111.0;0.55;-1.05;73.969227376
112.0;0.55;-1.15;71.9310533454
113.0;0.55;-1.25;71.7474038691
114.0;0.55;-1.35;72.3419318894
115.0;0.55;-1.45;72.0140008878
116.0;0.55;-1.55;70.1429555058
117.0;0.55;-1.65;68.113508483
118.0;0.55;-1.75;67.0740776557
119.0;0.55;-1.85;66.5777367054
120.0;0.55;-1.95;66.2347478322
121.0;0.65;-0.05;213.210147679
122.0;0.65;-0.15;189.244071882
123.0;0.65;-0.25;165.953487257
124.0;0.65;-0.35;145.599327406
125.0;0.65;-0.45;127.837307389
126.0;0.65;-0.55;111.869676379
127.0;0.65;-0.65;97.8804531482
128.0;0.65;-0.75;86.627566899
129.0;0.65;-0.85;78.8382667262
130.0;0.65;-0.95;74.2731886276
131.0;0.65;-1.05;72.2059062334
132.0;0.65;-1.15;71.7120225554
133.0;0.65;-1.25;71.8065945291
134.0;0.65;-1.35;71.7216338332
135.0;0.65;-1.45;71.0550197457
136.0;0.65;-1.55;69.867077831
137.0;0.65;-1.65;68.5866652879
138.0;0.65;-1.75;67.6473050303
139.0;0.65;-1.85;67.1481314831
140.0;0.65;-1.95;66.7636051732
141.0;0.75;-0.05;189.70544501
142.0;0.75;-0.15;167.371003577
143.0;0.75;-0.25;145.063960893
144.0;0.75;-0.35;126.398243954
145.0;0.75;-0.45;111.091063153
146.0;0.75;-0.55;97.7395826641
147.0;0.75;-0.65;86.6241718219
148.0;0.75;-0.75;78.853533575
149.0;0.75;-0.85;74.4474417301
150.0;0.75;-0.95;72.5657026971
151.0;0.75;-1.05;72.0398743414
152.0;0.75;-1.15;71.9456983129
153.0;0.75;-1.25;71.5373191499
154.0;0.75;-1.35;70.7145883109
155.0;0.75;-1.45;70.0602916436
156.0;0.75;-1.55;69.8940652022
157.0;0.75;-1.65;69.7810101279
158.0;0.75;-1.75;69.384027432
159.0;0.75;-1.85;68.9181609508
160.0;0.75;-1.95;68.3731396066
161.0;0.85;-0.05;166.402769577
162.0;0.85;-0.15;146.404984233
163.0;0.85;-0.25;127.222486928
164.0;0.85;-0.35;110.585700731
165.0;0.85;-0.45;97.0363320529
166.0;0.85;-0.55;86.4020921285
167.0;0.85;-0.65;78.8346165874
168.0;0.85;-0.75;74.4467236955
169.0;0.85;-0.85;72.6573661398
170.0;0.85;-0.95;72.1593542582
171.0;0.85;-1.05;71.9944826249
172.0;0.85;-1.15;71.635630632
173.0;0.85;-1.25;70.9752203882
174.0;0.85;-1.35;70.1968747128
175.0;0.85;-1.45;69.6661303071
176.0;0.85;-1.55;69.5128709989
177.0;0.85;-1.65;69.4465383374
178.0;0.85;-1.75;69.174193559
179.0;0.85;-1.85;68.6921882996
180.0;0.85;-1.95;68.1123501345
181.0;0.95;-0.05;144.416838259
182.0;0.95;-0.15;126.480520395
183.0;0.95;-0.25;111.358979221
184.0;0.95;-0.35;97.8496827204
185.0;0.95;-0.45;86.4477291776
186.0;0.95;-0.55;78.5344380453
187.0;0.95;-0.65;74.2720613876
188.0;0.95;-0.75;72.5664319949
189.0;0.95;-0.85;72.1602661267
190.0;0.95;-0.95;72.0868243567
191.0;0.95;-1.05;71.6768935301
192.0;0.95;-1.15;71.0196474903
193.0;0.95;-1.25;70.3949889215
194.0;0.95;-1.35;69.8980169925
195.0;0.95;-1.45;69.3958555665
196.0;0.95;-1.55;68.8165446794
197.0;0.95;-1.65;68.2514278326
198.0;0.95;-1.75;67.7343131887
199.0;0.95;-1.85;67.1676405327
200.0;0.95;-1.95;66.6190470831
201.0;1.05;-0.05;124.495308206
202.0;1.05;-0.15;107.990077634
203.0;1.05;-0.25;97.3682892416
204.0;1.05;-0.35;87.8083325862
205.0;1.05;-0.45;79.2078593808
206.0;1.05;-0.55;73.9690565839
207.0;1.05;-0.65;72.2061091079
208.0;1.05;-0.75;72.0413651197
209.0;1.05;-0.85;71.9959225003
210.0;1.05;-0.95;71.6773665646
211.0;1.05;-1.05;71.1486941499
212.0;1.05;-1.15;70.4920151108
213.0;1.05;-1.25;69.9516306443
214.0;1.05;-1.35;69.5060212694
215.0;1.05;-1.45;68.9653246824
216.0;1.05;-1.55;68.2515163531
217.0;1.05;-1.65;67.5037815359
218.0;1.05;-1.75;66.8430791523
219.0;1.05;-1.85;66.2493894142
220.0;1.05;-1.95;65.7138955459
221.0;1.15;-0.05;107.842387055
222.0;1.15;-0.15;93.435628838
223.0;1.15;-0.25;86.4308494899
224.0;1.15;-0.35;80.0725972326
225.0;1.15;-0.45;74.5393714346
226.0;1.15;-0.55;71.9300027031
227.0;1.15;-0.65;71.7115330352
228.0;1.15;-0.75;71.9465381068
229.0;1.15;-0.85;71.6365403176
230.0;1.15;-0.95;71.0197649089
231.0;1.15;-1.05;70.4917719446
232.0;1.15;-1.15;70.0698913232
233.0;1.15;-1.25;69.5691167986
234.0;1.15;-1.35;69.0405885606
235.0;1.15;-1.45;68.4902335271
236.0;1.15;-1.55;67.918175224
237.0;1.15;-1.65;67.3283350036
238.0;1.15;-1.75;66.7445924445
239.0;1.15;-1.85;66.2033005226
240.0;1.15;-1.95;65.6685642431
241.0;1.25;-0.05;96.4783015406
242.0;1.25;-0.15;85.8483015373
243.0;1.25;-0.25;78.6172948434
244.0;1.25;-0.35;73.8815268875
245.0;1.25;-0.45;71.9736043897
246.0;1.25;-0.55;71.745466654
247.0;1.25;-0.65;71.8052850976
248.0;1.25;-0.75;71.5373987663
249.0;1.25;-0.85;70.9755249256
250.0;1.25;-0.95;70.3946983708
251.0;1.25;-1.05;69.9510879059
252.0;1.25;-1.15;69.5688527569
253.0;1.25;-1.25;69.1350592141
254.0;1.25;-1.35;68.5756194899
255.0;1.25;-1.45;68.0486854219
256.0;1.25;-1.55;67.5812604698
257.0;1.25;-1.65;67.121655952
258.0;1.25;-1.75;66.6309022039
259.0;1.25;-1.85;66.1279895179
260.0;1.25;-1.95;65.5993398482
261.0;1.35;-0.05;89.2805913832
262.0;1.35;-0.15;83.1369292401
263.0;1.35;-0.25;73.4233797354
264.0;1.35;-0.35;69.6771020191
265.0;1.35;-0.45;71.1448566685
266.0;1.35;-0.55;72.340332821
267.0;1.35;-0.65;71.7205382962
268.0;1.35;-0.75;70.7147002157
269.0;1.35;-0.85;70.1971754516
270.0;1.35;-0.95;69.8977913696
271.0;1.35;-1.05;69.5055609762
272.0;1.35;-1.15;69.0403779903
273.0;1.35;-1.25;68.5756460966
