Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;-7.85;-5.04;0.01;0.07;-35.26;-43.64;-104.76;0.00
2;1;0.050;-0.150;-3.200;-5.00;-3.38;0.66;-18.85;-22.38;-47.50;-76.76;-19.05
3;1;0.050;-0.250;-3.224;-3.34;-2.37;0.34;-12.34;-9.53;-41.75;-56.50;-17.68
4;1;0.050;-0.350;-3.249;-2.12;-1.63;-0.09;-8.60;-4.97;-36.29;-47.40;-17.83
5;1;0.050;-0.450;-3.274;-1.30;-1.12;-0.32;-6.31;-3.03;-31.71;-41.97;-18.01
6;1;0.050;-0.550;-3.298;-0.80;-0.77;-0.42;-4.84;-2.06;-27.90;-38.29;-17.84
7;1;0.050;-0.650;-3.323;-0.48;-0.53;-0.43;-3.85;-1.53;-24.65;-35.53;-17.31
8;1;0.050;-0.750;-3.348;-0.27;-0.37;-0.39;-3.12;-1.23;-21.79;-33.20;-16.49
9;1;0.050;-0.850;-3.372;-0.13;-0.24;-0.33;-2.53;-1.01;-19.21;-31.07;-15.49
10;1;0.050;-0.950;-3.397;-0.04;-0.15;-0.26;-2.03;-0.81;-16.85;-29.04;-14.41
11;1;0.050;-1.050;-3.422;0.01;-0.08;-0.19;-1.60;-0.63;-14.65;-27.08;-13.27
12;1;0.050;-1.150;-3.446;0.04;-0.03;-0.13;-1.25;-0.45;-12.59;-25.14;-12.07
13;1;0.050;-1.250;-3.471;0.06;0.01;-0.10;-0.95;-0.29;-10.66;-23.13;-10.81
14;1;0.050;-1.350;-3.496;0.08;0.03;-0.08;-0.71;-0.16;-8.89;-21.00;-9.57
15;1;0.050;-1.450;-3.520;0.09;0.04;-0.07;-0.50;-0.09;-7.30;-18.83;-8.49
16;1;0.050;-1.550;-3.545;0.08;0.04;-0.05;-0.33;-0.06;-5.98;-16.85;-7.64
17;1;0.050;-1.650;-3.570;0.07;0.03;-0.03;-0.22;-0.01;-4.98;-15.24;-6.91
18;1;0.050;-1.750;-3.595;0.07;0.03;-0.03;-0.17;0.05;-4.26;-13.97;-6.23
19;1;0.050;-1.850;-3.619;0.07;0.03;-0.03;-0.13;0.08;-3.75;-12.95;-5.60
20;1;0.050;-1.950;-3.644;0.08;0.03;-0.03;-0.11;0.12;-3.42;-12.16;-5.02
21;1;0.150;-0.050;-3.200;-5.00;-3.38;-0.66;18.89;-22.33;-47.54;-76.64;19.07
22;1;0.150;-0.150;-3.224;-4.78;-2.25;0.00;0.00;-15.68;-35.75;-67.59;0.01
23;1;0.150;-0.250;-3.248;-3.48;-1.61;0.09;-4.60;-8.95;-31.56;-55.42;-8.61
24;1;0.150;-0.350;-3.272;-2.24;-1.13;-0.06;-4.69;-5.13;-27.74;-46.17;-11.38
25;1;0.150;-0.450;-3.296;-1.41;-0.77;-0.19;-3.98;-3.09;-24.18;-40.01;-12.38
26;1;0.150;-0.550;-3.320;-0.89;-0.51;-0.25;-3.30;-1.98;-21.06;-35.80;-12.62
27;1;0.150;-0.650;-3.344;-0.55;-0.34;-0.27;-2.74;-1.35;-18.32;-32.83;-12.40
28;1;0.150;-0.750;-3.368;-0.33;-0.22;-0.25;-2.24;-0.99;-15.91;-30.57;-11.87
29;1;0.150;-0.850;-3.392;-0.19;-0.13;-0.21;-1.79;-0.77;-13.77;-28.63;-11.11
30;1;0.150;-0.950;-3.416;-0.09;-0.07;-0.17;-1.40;-0.62;-11.85;-26.75;-10.26
31;1;0.150;-1.050;-3.440;-0.04;-0.03;-0.12;-1.06;-0.47;-10.14;-24.93;-9.44
32;1;0.150;-1.150;-3.464;0.00;0.00;-0.09;-0.78;-0.30;-8.65;-23.30;-8.72
33;1;0.150;-1.250;-3.488;0.02;0.02;-0.07;-0.60;-0.13;-7.36;-22.03;-8.09
34;1;0.150;-1.350;-3.512;0.04;0.04;-0.07;-0.53;-0.03;-6.19;-20.94;-7.45
35;1;0.150;-1.450;-3.536;0.05;0.04;-0.06;-0.43;-0.04;-5.10;-19.54;-6.77
36;1;0.150;-1.550;-3.560;0.05;0.04;-0.05;-0.27;-0.07;-4.18;-17.70;-6.09
37;1;0.150;-1.650;-3.585;0.05;0.03;-0.03;-0.18;-0.02;-3.53;-15.80;-5.47
38;1;0.150;-1.750;-3.609;0.05;0.03;-0.03;-0.16;0.06;-3.13;-14.24;-4.97
39;1;0.150;-1.850;-3.633;0.06;0.02;-0.03;-0.15;0.10;-2.92;-13.08;-4.55
40;1;0.150;-1.950;-3.657;0.07;0.02;-0.03;-0.10;0.13;-2.76;-12.26;-4.22
41;1;0.250;-0.050;-3.224;-3.34;-2.38;-0.34;12.37;-9.50;-41.79;-56.43;17.70
42;1;0.250;-0.150;-3.248;-3.48;-1.61;-0.09;4.60;-8.95;-31.58;-55.40;8.62
43;1;0.250;-0.250;-3.271;-2.69;-1.07;0.00;0.00;-6.15;-25.11;-48.46;0.00
44;1;0.250;-0.350;-3.295;-1.87;-0.73;-0.04;-1.62;-3.93;-21.02;-42.08;-4.70
45;1;0.250;-0.450;-3.318;-1.27;-0.49;-0.10;-1.97;-2.51;-17.97;-37.20;-6.95
46;1;0.250;-0.550;-3.341;-0.83;-0.31;-0.14;-1.90;-1.64;-15.37;-33.40;-7.98
47;1;0.250;-0.650;-3.365;-0.53;-0.19;-0.16;-1.69;-1.09;-13.11;-30.49;-8.28
