Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;-3.16;-17.86;0.00;-0.34;-44.62;-35.58;6.84;1.02
2;1;0.050;-0.150;-3.200;-1.59;-4.55;-2.16;-12.68;-16.64;-9.61;-11.49;-1.82
3;1;0.050;-0.250;-3.224;-1.26;-2.07;-1.01;-8.19;-5.13;-7.69;-10.50;-1.62
4;1;0.050;-0.350;-3.249;-0.91;-1.26;-0.64;-5.34;-1.69;-7.71;-9.96;-1.38
5;1;0.050;-0.450;-3.274;-0.60;-0.87;-0.50;-3.60;-0.62;-7.54;-9.74;-1.26
6;1;0.050;-0.550;-3.298;-0.37;-0.63;-0.42;-2.58;-0.21;-7.15;-9.55;-1.19
7;1;0.050;-0.650;-3.323;-0.20;-0.47;-0.35;-1.96;-0.04;-6.62;-9.26;-1.13
8;1;0.050;-0.750;-3.348;-0.08;-0.35;-0.28;-1.57;0.04;-6.02;-8.82;-1.05
9;1;0.050;-0.850;-3.372;-0.01;-0.26;-0.22;-1.30;0.06;-5.40;-8.20;-0.94
10;1;0.050;-0.950;-3.397;0.04;-0.20;-0.16;-1.10;0.07;-4.76;-7.44;-0.80
11;1;0.050;-1.050;-3.422;0.07;-0.15;-0.11;-0.95;0.09;-4.12;-6.58;-0.66
12;1;0.050;-1.150;-3.446;0.09;-0.10;-0.07;-0.83;0.11;-3.51;-5.66;-0.51
13;1;0.050;-1.250;-3.471;0.10;-0.07;-0.04;-0.73;0.15;-3.03;-4.71;-0.33
14;1;0.050;-1.350;-3.496;0.11;-0.05;-0.02;-0.66;0.18;-2.69;-3.75;-0.13
15;1;0.050;-1.450;-3.520;0.11;-0.04;-0.01;-0.59;0.15;-2.39;-2.82;0.04
16;1;0.050;-1.550;-3.545;0.10;-0.03;0.00;-0.51;0.08;-2.07;-1.96;0.12
17;1;0.050;-1.650;-3.570;0.09;-0.02;0.00;-0.41;0.01;-1.88;-1.22;0.13
18;1;0.050;-1.750;-3.595;0.09;-0.01;0.01;-0.31;-0.03;-1.95;-0.61;0.13
19;1;0.050;-1.850;-3.619;0.10;-0.01;0.01;-0.23;-0.05;-2.18;-0.10;0.11
20;1;0.050;-1.950;-3.644;0.11;-0.01;0.01;-0.15;-0.05;-2.47;0.35;0.02
21;1;0.150;-0.050;-3.200;-1.60;-4.55;2.16;12.44;-16.78;-9.31;-10.30;2.49
22;1;0.150;-0.150;-3.224;-1.01;-4.07;0.00;-0.05;-14.32;-8.47;-11.03;0.18
23;1;0.150;-0.250;-3.248;-1.09;-2.11;-0.41;-4.11;-7.51;-7.44;-10.48;-0.91
24;1;0.150;-0.350;-3.272;-0.86;-1.24;-0.33;-3.99;-3.72;-7.01;-9.82;-0.93
25;1;0.150;-0.450;-3.296;-0.58;-0.80;-0.27;-3.20;-2.03;-6.56;-9.44;-0.78
26;1;0.150;-0.550;-3.320;-0.37;-0.56;-0.24;-2.54;-1.23;-6.03;-9.20;-0.65
27;1;0.150;-0.650;-3.344;-0.21;-0.41;-0.21;-2.09;-0.82;-5.43;-8.98;-0.54
28;1;0.150;-0.750;-3.368;-0.11;-0.31;-0.18;-1.74;-0.58;-4.82;-8.71;-0.45
29;1;0.150;-0.850;-3.392;-0.04;-0.24;-0.14;-1.45;-0.44;-4.23;-8.31;-0.34
30;1;0.150;-0.950;-3.416;0.00;-0.18;-0.10;-1.21;-0.32;-3.67;-7.78;-0.25
31;1;0.150;-1.050;-3.440;0.02;-0.14;-0.07;-0.98;-0.20;-3.17;-7.11;-0.18
32;1;0.150;-1.150;-3.464;0.04;-0.10;-0.04;-0.77;-0.09;-2.76;-6.40;-0.16
33;1;0.150;-1.250;-3.488;0.05;-0.08;-0.02;-0.60;0.01;-2.47;-5.74;-0.13
34;1;0.150;-1.350;-3.512;0.07;-0.07;-0.01;-0.52;0.10;-2.27;-5.12;-0.07
35;1;0.150;-1.450;-3.536;0.07;-0.06;-0.01;-0.50;0.13;-2.09;-4.42;0.00
