Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;-0.83;-4.38;0.02;0.41;-14.04;-10.80;-0.41;0.29
2;1;0.050;-0.150;-3.200;-0.42;-0.83;-0.30;-3.98;-3.92;-3.35;-3.98;-1.05
3;1;0.050;-0.250;-3.224;-0.33;-0.31;-0.10;-2.63;-0.96;-2.84;-2.65;-1.01
4;1;0.050;-0.350;-3.249;-0.24;-0.15;-0.07;-1.78;-0.34;-2.78;-2.14;-0.97
5;1;0.050;-0.450;-3.274;-0.16;-0.08;-0.07;-1.22;-0.24;-2.58;-2.00;-0.94
6;1;0.050;-0.550;-3.298;-0.10;-0.05;-0.07;-0.88;-0.22;-2.32;-2.01;-0.91
7;1;0.050;-0.650;-3.323;-0.07;-0.02;-0.07;-0.66;-0.21;-2.03;-2.06;-0.87
8;1;0.050;-0.750;-3.348;-0.04;-0.01;-0.06;-0.52;-0.19;-1.74;-2.11;-0.81
9;1;0.050;-0.850;-3.372;-0.02;0.00;-0.06;-0.41;-0.16;-1.47;-2.13;-0.73
10;1;0.050;-0.950;-3.397;-0.01;0.00;-0.05;-0.33;-0.14;-1.22;-2.12;-0.63
11;1;0.050;-1.050;-3.422;0.00;0.01;-0.04;-0.27;-0.11;-1.00;-2.07;-0.52
12;1;0.050;-1.150;-3.446;0.01;0.01;-0.03;-0.22;-0.08;-0.80;-1.98;-0.40
13;1;0.050;-1.250;-3.471;0.01;0.01;-0.03;-0.19;-0.06;-0.63;-1.85;-0.28
14;1;0.050;-1.350;-3.496;0.02;0.01;-0.02;-0.16;-0.04;-0.48;-1.67;-0.16
15;1;0.050;-1.450;-3.520;0.02;0.01;-0.02;-0.13;-0.02;-0.37;-1.48;-0.06
16;1;0.050;-1.550;-3.545;0.03;0.01;-0.01;-0.13;0.00;-0.32;-1.30;0.05
17;1;0.050;-1.650;-3.570;0.03;0.01;-0.01;-0.13;0.00;-0.29;-1.13;0.13
18;1;0.050;-1.750;-3.595;0.03;0.01;-0.01;-0.12;0.00;-0.32;-0.95;0.20
19;1;0.050;-1.850;-3.619;0.04;0.01;-0.01;-0.12;0.01;-0.39;-0.78;0.26
20;1;0.050;-1.950;-3.644;0.04;0.00;-0.01;-0.11;0.01;-0.49;-0.60;0.30
21;1;0.150;-0.050;-3.200;-0.61;-1.20;0.63;4.55;-6.40;-4.31;-5.44;1.61
22;1;0.150;-0.150;-3.224;-0.46;-0.83;0.08;-0.58;-4.04;-3.34;-4.20;-0.17
23;1;0.150;-0.250;-3.248;-0.42;-0.34;-0.01;-1.52;-1.74;-2.85;-3.16;-0.85
24;1;0.150;-0.350;-3.272;-0.30;-0.14;-0.02;-1.20;-0.70;-2.55;-2.45;-0.95
25;1;0.150;-0.450;-3.296;-0.20;-0.06;-0.03;-0.83;-0.32;-2.26;-2.12;-0.91
26;1;0.150;-0.550;-3.320;-0.14;-0.02;-0.04;-0.57;-0.18;-1.94;-2.01;-0.85
27;1;0.150;-0.650;-3.344;-0.09;0.01;-0.04;-0.41;-0.11;-1.63;-1.99;-0.77
28;1;0.150;-0.750;-3.368;-0.06;0.01;-0.04;-0.31;-0.08;-1.34;-2.00;-0.68
29;1;0.150;-0.850;-3.392;-0.03;0.02;-0.04;-0.24;-0.07;-1.08;-2.02;-0.58
30;1;0.150;-0.950;-3.416;-0.02;0.02;-0.04;-0.20;-0.06;-0.85;-2.02;-0.47
31;1;0.150;-1.050;-3.440;-0.01;0.02;-0.03;-0.16;-0.05;-0.65;-2.01;-0.36
32;1;0.150;-1.150;-3.464;0.00;0.01;-0.03;-0.14;-0.04;-0.49;-1.97;-0.26
33;1;0.150;-1.250;-3.488;0.00;0.01;-0.02;-0.13;-0.02;-0.37;-1.91;-0.16
34;1;0.150;-1.350;-3.512;0.01;0.01;-0.02;-0.10;-0.01;-0.28;-1.82;-0.08
35;1;0.150;-1.450;-3.536;0.01;0.01;-0.02;-0.09;-0.01;-0.22;-1.70;0.00
36;1;0.150;-1.550;-3.560;0.02;0.01;-0.01;-0.10;0.00;-0.21;-1.55;0.08
37;1;0.150;-1.650;-3.585;0.02;0.00;-0.01;-0.09;0.01;-0.23;-1.40;0.15
38;1;0.150;-1.750;-3.609;0.02;0.00;-0.01;-0.09;0.02;-0.30;-1.26;0.20
39;1;0.150;-1.850;-3.633;0.03;0.00;-0.01;-0.09;0.02;-0.40;-1.12;0.25
40;1;0.150;-1.950;-3.657;0.03;0.00;-0.01;-0.09;0.02;-0.54;-0.97;0.28
41;1;0.250;-0.050;-3.224;-0.49;-0.52;0.32;3.12;-2.57;-3.92;-4.59;1.31
42;1;0.250;-0.150;-3.248;-0.48;-0.41;0.16;1.03;-2.30;-3.16;-4.02;0.34
43;1;0.250;-0.250;-3.271;-0.39;-0.21;0.06;-0.19;-1.35;-2.60;-3.21;-0.42
44;1;0.250;-0.350;-3.295;-0.29;-0.09;0.02;-0.47;-0.69;-2.21;-2.60;-0.73
45;1;0.250;-0.450;-3.318;-0.20;-0.02;0.00;-0.43;-0.34;-1.87;-2.24;-0.80
46;1;0.250;-0.550;-3.341;-0.13;0.01;-0.01;-0.33;-0.18;-1.54;-2.06;-0.76
47;1;0.250;-0.650;-3.365;-0.09;0.02;-0.02;-0.25;-0.10;-1.24;-1.99;-0.69
48;1;0.250;-0.750;-3.388;-0.06;0.03;-0.03;-0.20;-0.07;-0.97;-1.97;-0.59
49;1;0.250;-0.850;-3.412;-0.03;0.03;-0.03;-0.16;-0.05;-0.75;-1.98;-0.49
50;1;0.250;-0.950;-3.435;-0.02;0.02;-0.03;-0.13;-0.04;-0.56;-1.99;-0.39
51;1;0.250;-1.050;-3.459;-0.01;0.02;-0.02;-0.10;-0.03;-0.40;-1.99;-0.29
52;1;0.250;-1.150;-3.482;-0.01;0.02;-0.02;-0.10;-0.02;-0.29;-1.98;-0.20
53;1;0.250;-1.250;-3.505;0.00;0.01;-0.02;-0.09;0.00;-0.21;-1.95;-0.12
54;1;0.250;-1.350;-3.529;0.00;0.01;-0.02;-0.07;0.01;-0.16;-1.90;-0.04
55;1;0.250;-1.450;-3.552;0.01;0.01;-0.02;-0.07;0.02;-0.14;-1.83;0.03
56;1;0.250;-1.550;-3.576;0.01;0.00;-0.01;-0.07;0.02;-0.16;-1.74;0.09
57;1;0.250;-1.650;-3.599;0.01;0.00;-0.01;-0.07;0.02;-0.22;-1.62;0.15
58;1;0.250;-1.750;-3.623;0.02;0.00;-0.01;-0.08;0.02;-0.32;-1.50;0.20
59;1;0.250;-1.850;-3.646;0.02;0.00;-0.01;-0.09;0.02;-0.45;-1.38;0.24
60;1;0.250;-1.950;-3.670;0.02;0.00;-0.01;-0.09;0.02;-0.62;-1.25;0.27
61;1;0.350;-0.050;-3.249;-0.36;-0.29;0.23;2.32;-1.27;-3.85;-4.32;1.15
62;1;0.350;-0.150;-3.272;-0.37;-0.20;0.14;1.21;-1.17;-3.03;-3.74;0.41
63;1;0.350;-0.250;-3.295;-0.32;-0.11;0.08;0.36;-0.84;-2.36;-3.13;-0.19
64;1;0.350;-0.350;-3.317;-0.25;-0.04;0.04;-0.02;-0.51;-1.88;-2.64;-0.54
65;1;0.350;-0.450;-3.340;-0.17;0.00;0.01;-0.14;-0.29;-1.50;-2.31;-0.67
66;1;0.350;-0.550;-3.363;-0.12;0.02;0.00;-0.15;-0.16;-1.17;-2.12;-0.68
67;1;0.350;-0.650;-3.386;-0.08;0.03;-0.01;-0.14;-0.09;-0.90;-2.02;-0.62
68;1;0.350;-0.750;-3.409;-0.05;0.03;-0.02;-0.12;-0.06;-0.67;-1.98;-0.54
69;1;0.350;-0.850;-3.431;-0.03;0.03;-0.02;-0.10;-0.03;-0.48;-1.98;-0.45
70;1;0.350;-0.950;-3.454;-0.02;0.03;-0.02;-0.08;-0.02;-0.34;-1.98;-0.36
71;1;0.350;-1.050;-3.477;-0.01;0.02;-0.02;-0.07;-0.01;-0.23;-1.99;-0.27
72;1;0.350;-1.150;-3.500;-0.01;0.02;-0.02;-0.06;0.01;-0.15;-1.99;-0.19
73;1;0.350;-1.250;-3.523;0.00;0.01;-0.02;-0.05;0.03;-0.11;-1.99;-0.11
74;1;0.350;-1.350;-3.545;0.00;0.01;-0.01;-0.06;0.03;-0.09;-1.97;-0.03
75;1;0.350;-1.450;-3.568;0.00;0.00;-0.01;-0.06;0.03;-0.11;-1.93;0.03
76;1;0.350;-1.550;-3.591;0.00;0.00;-0.01;-0.06;0.03;-0.15;-1.87;0.09
77;1;0.350;-1.650;-3.614;0.01;0.00;-0.01;-0.07;0.03;-0.24;-1.79;0.14
78;1;0.350;-1.750;-3.637;0.01;0.00;-0.01;-0.08;0.02;-0.36;-1.69;0.19
79;1;0.350;-1.850;-3.660;0.01;-0.01;-0.01;-0.08;0.02;-0.52;-1.59;0.23
80;1;0.350;-1.950;-3.682;0.02;-0.01;-0.01;-0.09;0.02;-0.71;-1.47;0.26
81;1;0.450;-0.050;-3.274;-0.25;-0.18;0.20;1.77;-0.83;-3.65;-4.25;1.08
