Fläche;;;Material;Dicke;;Exzentrizität;Integrierte Objekte;;;
Nr.;Flächentyp;Begrenzungslinien Nr.;Nr.;Typ;d [mm];ez [mm];Knoten Nr.;Linien Nr.;Öffnungen Nr.;Kommentar
1;Quadrangle;1,21,42,22;1;Konstant;267.3;0.0;;;;
2;Quadrangle;2,22,43,23;1;Konstant;267.3;0.0;;;;
3;Quadrangle;3,23,44,24;1;Konstant;265.5;0.0;;;;
4;Quadrangle;4,24,45,25;1;Konstant;255.8;0.0;;;;
5;Quadrangle;5,25,46,26;1;Konstant;232.3;0.0;;;;
6;Quadrangle;6,26,47,27;1;Konstant;210.4;0.0;;;;
7;Quadrangle;7,27,48,28;1;Konstant;189.1;0.0;;;;
8;Quadrangle;8,28,49,29;1;Konstant;168.7;0.0;;;;
9;Quadrangle;9,29,50,30;1;Konstant;149.3;0.0;;;;
10;Quadrangle;10,30,51,31;1;Konstant;131.3;0.0;;;;
11;Quadrangle;11,31,52,32;1;Konstant;115.0;0.0;;;;
12;Quadrangle;12,32,53,33;1;Konstant;101.3;0.0;;;;
13;Quadrangle;13,33,54,34;1;Konstant;90.3;0.0;;;;
14;Quadrangle;14,34,55,35;1;Konstant;78.9;0.0;;;;
15;Quadrangle;15,35,56,36;1;Konstant;70.6;0.0;;;;
16;Quadrangle;16,36,57,37;1;Konstant;67.2;0.0;;;;
17;Quadrangle;17,37,58,38;1;Konstant;63.2;0.0;;;;
18;Quadrangle;18,38,59,39;1;Konstant;61.3;0.0;;;;
19;Quadrangle;19,39,60,40;1;Konstant;60.5;0.0;;;;
20;Quadrangle;20,40,61,41;1;Konstant;60.3;0.0;;;;
21;Quadrangle;42,62,83,63;1;Konstant;267.3;0.0;;;;
22;Quadrangle;43,63,84,64;1;Konstant;265.5;0.0;;;;
23;Quadrangle;44,64,85,65;1;Konstant;256.2;0.0;;;;
24;Quadrangle;45,65,86,66;1;Konstant;232.9;0.0;;;;
25;Quadrangle;46,66,87,67;1;Konstant;210.9;0.0;;;;
26;Quadrangle;47,67,88,68;1;Konstant;189.7;0.0;;;;
27;Quadrangle;48,68,89,69;1;Konstant;169.5;0.0;;;;
28;Quadrangle;49,69,90,70;1;Konstant;150.3;0.0;;;;
29;Quadrangle;50,70,91,71;1;Konstant;132.5;0.0;;;;
30;Quadrangle;51,71,92,72;1;Konstant;116.3;0.0;;;;
31;Quadrangle;52,72,93,73;1;Konstant;102.0;0.0;;;;
32;Quadrangle;53,73,94,74;1;Konstant;90.5;0.0;;;;
33;Quadrangle;54,74,95,75;1;Konstant;81.8;0.0;;;;
34;Quadrangle;55,75,96,76;1;Konstant;73.8;0.0;;;;
35;Quadrangle;56,76,97,77;1;Konstant;69.0;0.0;;;;
36;Quadrangle;57,77,98,78;1;Konstant;64.4;0.0;;;;
37;Quadrangle;58,78,99,79;1;Konstant;60.6;0.0;;;;
38;Quadrangle;59,79,100,80;1;Konstant;60.0;0.0;;;;
39;Quadrangle;60,80,101,81;1;Konstant;60.0;0.0;;;;
40;Quadrangle;61,81,102,82;1;Konstant;60.0;0.0;;;;
41;Quadrangle;83,103,124,104;1;Konstant;265.5;0.0;;;;
42;Quadrangle;84,104,125,105;1;Konstant;256.2;0.0;;;;
43;Quadrangle;85,105,126,106;1;Konstant;233.1;0.0;;;;
44;Quadrangle;86,106,127,107;1;Konstant;211.2;0.0;;;;
45;Quadrangle;87,107,128,108;1;Konstant;189.9;0.0;;;;
46;Quadrangle;88,108,129,109;1;Konstant;169.5;0.0;;;;
47;Quadrangle;89,109,130,110;1;Konstant;150.4;0.0;;;;
48;Quadrangle;90,110,131,111;1;Konstant;132.9;0.0;;;;
49;Quadrangle;91,111,132,112;1;Konstant;117.0;0.0;;;;
50;Quadrangle;92,112,133,113;1;Konstant;103.1;0.0;;;;
51;Quadrangle;93,113,134,114;1;Konstant;91.3;0.0;;;;
52;Quadrangle;94,114,135,115;1;Konstant;81.9;0.0;;;;
53;Quadrangle;95,115,136,116;1;Konstant;73.7;0.0;;;;
54;Quadrangle;96,116,137,117;1;Konstant;69.3;0.0;;;;
55;Quadrangle;97,117,138,118;1;Konstant;66.2;0.0;;;;
56;Quadrangle;98,118,139,119;1;Konstant;63.3;0.0;;;;
57;Quadrangle;99,119,140,120;1;Konstant;61.2;0.0;;;;
58;Quadrangle;100,120,141,121;1;Konstant;60.4;0.0;;;;
59;Quadrangle;101,121,142,122;1;Konstant;60.0;0.0;;;;
60;Quadrangle;102,122,143,123;1;Konstant;60.0;0.0;;;;
61;Quadrangle;124,144,165,145;1;Konstant;255.8;0.0;;;;
62;Quadrangle;125,145,166,146;1;Konstant;232.9;0.0;;;;
63;Quadrangle;126,146,167,147;1;Konstant;211.2;0.0;;;;
64;Quadrangle;127,147,168,148;1;Konstant;189.9;0.0;;;;
65;Quadrangle;128,148,169,149;1;Konstant;169.6;0.0;;;;
66;Quadrangle;129,149,170,150;1;Konstant;150.5;0.0;;;;
67;Quadrangle;130,150,171,151;1;Konstant;133.0;0.0;;;;
68;Quadrangle;131,151,172,152;1;Konstant;117.2;0.0;;;;
69;Quadrangle;132,152,173,153;1;Konstant;103.5;0.0;;;;
70;Quadrangle;133,153,174,154;1;Konstant;91.9;0.0;;;;
71;Quadrangle;134,154,175,155;1;Konstant;82.5;0.0;;;;
72;Quadrangle;135,155,176,156;1;Konstant;73.9;0.0;;;;
73;Quadrangle;136,156,177,157;1;Konstant;69.2;0.0;;;;
74;Quadrangle;137,157,178,158;1;Konstant;66.4;0.0;;;;
75;Quadrangle;138,158,179,159;1;Konstant;64.7;0.0;;;;
76;Quadrangle;139,159,180,160;1;Konstant;62.9;0.0;;;;
77;Quadrangle;140,160,181,161;1;Konstant;61.8;0.0;;;;
78;Quadrangle;141,161,182,162;1;Konstant;61.2;0.0;;;;
79;Quadrangle;142,162,183,163;1;Konstant;60.7;0.0;;;;
80;Quadrangle;143,163,184,164;1;Konstant;60.4;0.0;;;;
81;Quadrangle;165,185,206,186;1;Konstant;232.3;0.0;;;;
82;Quadrangle;166,186,207,187;1;Konstant;210.9;0.0;;;;
83;Quadrangle;167,187,208,188;1;Konstant;189.9;0.0;;;;
84;Quadrangle;168,188,209,189;1;Konstant;169.6;0.0;;;;
85;Quadrangle;169,189,210,190;1;Konstant;150.6;0.0;;;;
86;Quadrangle;170,190,211,191;1;Konstant;133.2;0.0;;;;
87;Quadrangle;171,191,212,192;1;Konstant;117.5;0.0;;;;
88;Quadrangle;172,192,213,193;1;Konstant;103.8;0.0;;;;
89;Quadrangle;173,193,214,194;1;Konstant;92.3;0.0;;;;
90;Quadrangle;174,194,215,195;1;Konstant;82.8;0.0;;;;
91;Quadrangle;175,195,216,196;1;Konstant;74.1;0.0;;;;
92;Quadrangle;176,196,217,197;1;Konstant;69.3;0.0;;;;
